os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
29920,banco_automacao.db,375,BATERIA MOURA,BATERIA MOURA,1.0,Liberado,2026-02-02,2026-01-26,14084.7,17,safe,Liberado,mark_invoiced,2
29921,banco_empresa.db,645,CORR PLASTIK,CORR PLASTIK,1.0,Liberado,2026-02-18,2026-01-26,7400.0,75,safe,Liberado,mark_invoiced,1
29922,banco_empresa.db,628,INDORAMA,INDORAMA,1.0,Liberado,2026-02-04,2026-01-27,13232.0,58,safe,Liberado,mark_invoiced,1
29923,banco_empresa.db,649,INDORAMA,INDORAMA,1.0,Liberado,2026-02-23,2026-01-27,17318.5,78,safe,Liberado,mark_invoiced,1
29924,banco_empresa.db,710,FORTLEVE,FORTLEV,0.969,Liberado,2026-04-08,2026-01-28,2500.0,129,safe,Liberado,mark_invoiced,1
29933,banco_empresa.db,668,MONDELEZ,MONDELEZ,1.0,Liberado,2026-03-06,2026-01-30,11660.0,94,safe,Liberado,mark_invoiced,2
29935,banco_empresa.db,668,MONDELEZ,MONDELEZ,1.0,Liberado,2026-03-06,2026-01-30,11660.0,94,safe,Liberado,mark_invoiced,2
29936,banco_empresa.db,645,CORR PLASTIK,CORR PLASTIK,1.0,Liberado,2026-02-18,2026-01-30,7400.0,75,safe,Liberado,mark_invoiced,2
29937,banco_automacao.db,381,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-02-18,2026-01-30,11704.0,3,safe,Liberado,mark_invoiced,1
29938,banco_automacao.db,379,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-02-18,2026-01-30,3600.5,5,safe,Liberado,mark_invoiced,1
29939,banco_automacao.db,379,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-02-18,2026-01-30,3600.5,5,safe,Liberado,mark_invoiced,1
29940,banco_automacao.db,380,USINA PORTO RICO,USINA PORTO RICO,1.0,Liberado,2026-02-18,2026-01-30,3662.25,4,safe,Liberado,mark_invoiced,1
